"champion","tank","fighter","assassin","mage","marksman","support","attack","defense","magic","difficulty","engage","disengage","dive","pick","poke","siege","frontline","protect","scaling","early_pressure","skirmish","split_push","wave_clear","mobility","crowd_control","global_pressure","damage_physical","damage_magic","execution_difficulty","snowball_dependency","review_status","review_notes"
"Rek'Sai",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.5,0.2,0.3,0.9,0,0.675,0,0,0.1,0.725,0.325,0.425,0.73,0.55,0.69,0.275,0.5,0.3333333,0,0.87,0.13,0.3,0.24,"pending",""
"Rell",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.9,0.675,0,0.7,0,0.1,0.3,1,0,0,0.15,0.125,0.275,0,1,0,0,0,0,0,"pending",""
"Renata Glasc",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.6,0.9,0.8,0,0.675,0,0.35,0.675,0.55,0.33,1,0.05,0.17,0.15,0.06,0.3,0,0.6666667,0,0.13,0.935,0.8,0.16,"pending",""
"Renekton",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.5,0.2,0.3,0.8,0,0.675,0.35,0,0,0.725,0.65,0.2,0.83,0.7,0.69,0,0.5,0.3333333,0,0.87,0.13,0.3,0.24,"pending",""
"Rengar",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.7,0.4,0.2,0.8,0,0.325,0.675,0.65,0,0,0.37,0.65,0.175,0.795,0.85,0.785,0,0.5,0.6666667,0,0.805,0.13,0.8,0.71,"pending",""
"Riven",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.5,0.1,0.8,0.65,0.325,0.675,0.65,0,0.1,0.425,0,0.2,0.73,0.7,0.69,0.275,0.5,0.6666667,0,0.87,0.065,0.8,0.74,"pending",""
"Rumble",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.3,0.6,0.8,1,0.275,0.325,0.35,0.35,0,0,0.48,0.65,0.075,0.655,0.55,0.665,0.3,0,0.3333333,0,0.545,0.87,1,0.09,"pending",""
"Ryze",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.2,1,0.7,0.375,0.325,0.325,0.35,0.35,0.55,0.11,0,0.275,0.07,0,0.06,0.575,0.5,0.6666667,1,0.13,1,0.7,0.16,"pending",""
"Samira",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.8,0.5,0.3,0.6,0.65,0,0.675,0.3,0.325,0.45,0.275,0,0.5,0.73,0.45,0.365,0.425,0.5,0.3333333,0,0.87,0.195,0.6,0.74,"pending",""
"Sejuani",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.7,0.6,0.4,0.8,0.325,0.325,0.35,0,0,0.685,0,0.575,0.175,0,0.15,0,0.5,1,0,0.325,0.39,0.4,0.15,"pending",""
"Senna",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.7,0.2,0.6,0.7,0,0.35,0,0.35,0.35,0.9,0.11,1,0.475,0.345,0.3,0.21,0.425,0,0.3333333,1,0.805,0.39,0.7,0.21,"pending",""
"Seraphine",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0.35,0,0.35,0.35,0.65,0,1,0,0,0.3,0,0.575,0,0.3333333,0,0,0.35,0,0,"pending",""
"Sett",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.5,0.1,0.2,0.9,0.325,0.35,0.7,0,0,0.725,0.65,0.2,0.73,0.7,0.69,0.55,0,0.6666667,0,0.87,0.065,0.2,0.24,"pending",""
"Shaco",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.8,0.4,0.6,0.9,0.1,0.325,0.35,0.3,0,0.1,0.22,0.65,0.2,0.83,0.45,0.365,0.275,0,0.6666667,1,0.87,0.39,0.9,0.74,"pending",""
"Shen",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,0.9,0.3,0.4,0.525,0.325,0.325,0,0,0,0.795,0.65,0.075,0.105,0.3,0.09,0,0.5,0.3333333,1,0.195,0.195,0.4,0.09,"pending",""
"Shyvana",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.6,0.3,0.4,0.25,0.65,0.675,0,0,0,0.78,0.65,0.425,0.73,0.7,0.69,0.275,0.5,0.3333333,0,0.87,0.195,0.4,0.34,"pending",""
"Singed",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.4,0.8,0.7,0.5,0.25,0.325,0,0.35,0,0,0.74,0,0.1,0.14,0,0.12,0.3,0,0.6666667,0,0.26,0.805,0.5,0.12,"pending",""
"Sion",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.5,0.9,0.3,0.5,0.9,0.65,0.675,0.35,0,0.1,0.945,0.65,0.35,0.725,0.7,0.6,0.55,0.5,1,0,0.675,0.195,0.5,0.15,"pending",""
"Sivir",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,0.3,0.1,0.4,0,0,0,0,0,0.25,0.165,0.325,0.525,0.315,0.15,0.395,0.15,0,0,0,0.935,0.065,0.4,0.27,"pending",""
"Skarner",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.8,0.5,0.5,0.8,0.325,0.675,0.7,0.325,0,0.89,0.65,0.4,0.695,0.7,0.66,0,0.5,1,0,0.805,0.325,0.5,0.21,"pending",""
"Smolder",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.8,0.2,0.5,0.6,0,0.325,0,0,0.35,0.8,0.11,0.325,0.725,0.28,0.15,0.24,0.45,0,0.3333333,0,0.87,0.675,0.6,0.24,"pending",""
"Sona",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,0.2,0.8,0.4,0.375,0.35,0,0.35,0.35,0.55,0.11,1,0.35,0.275,0.3,0.15,0.575,0,0.3333333,0,0.325,0.87,0.4,0.15,"pending",""
"Soraka",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.5,0.7,0.3,0.1,0.675,0,0.35,0.35,0.55,0.275,0.675,0.05,0.07,0.15,0.06,0.575,0,0.6666667,0,0.13,0.805,0.3,0.06,"pending",""
"Swain",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.6,0.9,0.8,0.375,0.675,0,0.7,0.35,0.55,0.33,0.675,0.5,0.07,0.15,0.06,0.575,0,0.6666667,0,0.13,0.935,0.8,0.06,"pending",""
"Sylas",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,0.4,0.8,0.5,0.55,0.325,1,0.65,0,0,0.22,0.325,0.075,0.555,0.6,0.215,0.3,1,0.3333333,0,0.545,0.87,0.5,0.59,"pending",""
"Syndra",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.3,0.9,0.8,0.55,0.65,0.325,0.35,0.35,0.55,0.165,0.325,0.05,0.17,0.15,0.06,0.3,0.5,1,0,0.13,0.935,0.8,0.16,"pending",""
"Tahm Kench",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.3,0.9,0.6,0.5,0.9,0.675,0,0.35,0,0,0.795,1,0.3,0.105,0.3,0.09,0.55,0,1,0,0.195,0.39,0.5,0.09,"pending",""
"Taliyah",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.1,0.7,0.8,0.5,0.55,0.675,0.325,0.35,0.35,0.55,0.385,0.35,0.025,0.035,0.15,0.03,0.575,0.5,1,0,0.065,0.87,0.5,0.03,"pending",""
"Talon",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.9,0.3,0.1,0.7,0,0.325,0.675,0.3,0,0.2,0.165,0.325,0.45,0.865,0.45,0.27,0,0.5,0.3333333,0,0.935,0.065,0.7,0.77,"pending",""
"Taric",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4,0.8,0.5,0.3,0.8,0.35,0.325,0.35,0,0,0.74,1,0.1,0.14,0.3,0.12,0,0.5,0.3333333,0,0.26,0.325,0.3,0.12,"pending",""
"Teemo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5,0.3,0.7,0.6,0,0.325,0,0,0,0.45,0.165,0,0.425,0.175,0,0.4,0.45,0,0.3333333,0,0.675,0.805,0.6,0.15,"pending",""
"Thresh",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,0.6,0.6,0.7,0.9,0.675,0.325,0.35,0,0,0.63,0.675,0.35,0.175,0.3,0.15,0.275,0.5,0.6666667,0,0.325,0.39,0.7,0.15,"pending",""
"Tristana",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.9,0.3,0.5,0.4,0.55,0.65,0.675,0.3,0.35,0.9,0.165,0,0.525,0.765,0.3,0.395,0.15,0.5,0.6666667,0,0.935,0.325,0.4,0.77,"pending",""
"Trundle",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.6,0.2,0.5,0.25,0.325,0.35,0,0,0,0.78,0.325,0.4,0.695,0.55,0.785,0,0,0.3333333,0,0.805,0.13,0.5,0.21,"pending",""
"Tryndamere",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0.5,0.2,0.5,0,0,0.35,0.3,0,0,0.425,0.325,0.25,0.8,0.85,0.75,0,0,0,0,1,0.13,0.5,0.8,"pending",""
"Twisted Fate",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.6,0.2,0.6,0.9,0,0,0,0,0.35,0.8,0.11,0,0.45,0.31,0,0.305,0.45,0,0,1,0.74,0.74,0.9,0.18,"pending",""
"Twitch",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.9,0.2,0.3,0.6,0.1,0.325,0.35,0.3,0.35,0.8,0.11,0,0.525,0.765,0.3,0.395,0.7,0,0.3333333,0,0.935,0.195,0.6,0.87,"pending",""
"Udyr",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.7,0.4,0.7,0.625,0.325,0.35,0.35,0,0,0.835,0.65,0.2,0.73,0.7,0.815,0.275,0,0.6666667,0,0.87,0.26,0.7,0.24,"pending",""
"Urgot",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.5,0.3,0.8,0.625,0.325,0.675,0,0,0,0.725,0.65,0.2,0.83,0.7,0.69,0.275,0.5,0.3333333,0,0.87,0.195,0.8,0.34,"pending",""
"Varus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.7,0.3,0.4,0.2,0,0.325,0,0,0.35,0.9,0.165,0.325,0.7,0.245,0.15,0.21,0.45,0,0.3333333,0,0.805,0.61,0.2,0.21,"pending",""
"Vayne",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0.1,0.1,0.8,0.55,0.325,0.35,0.65,0.35,0.8,0.055,0.325,0.55,0.9,0.45,0.3,0.15,0,0.6666667,0,1,0.065,0.8,0.8,"pending",""
"Veigar",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.2,1,0.7,0.275,0,0,0.35,0.35,0.55,0.11,0.325,0.5,0.07,0.15,0.06,0.3,0,0.3333333,0,0.13,1,0.7,0.16,"pending",""
"Vel'Koz",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.2,1,0.8,0.275,0.675,0,0,0.35,0.55,0.11,0.35,0.275,0.07,0,0.06,0.575,0,0.6666667,0,0.13,1,0.8,0.06,"pending",""
"Vex",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0.375,0.325,0.325,0,0.675,0.55,0,0.65,0,0.1,0.3,0,0.575,0.5,0.6666667,0,0,0.35,0,0,"pending",""
"Vi",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.5,0.3,0.4,0.55,0.325,0.675,0.3,0,0,0.425,0.325,0.425,0.83,0.85,0.815,0,0.5,0.3333333,0,0.87,0.195,0.4,0.74,"pending",""
"Viego",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.6,0.4,0.2,0.5,0.55,0,1,0.65,0,0,0.37,0.325,0.15,0.76,1,0.755,0,1,0.6666667,1,0.74,0.13,0.5,0.78,"pending",""
"Viktor",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.4,1,0.9,0.475,0.325,0,0.35,0.35,0.55,0.22,0.65,0.275,0.07,0.15,0.06,0.85,0,0.6666667,0,0.13,1,0.9,0.06,"pending",""
"Vladimir",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.2,0.6,0.8,0.7,0.275,0.325,0.675,0,0,0,0.48,0.65,0.275,0.52,0.55,0.51,0.575,0.5,0.3333333,0,0.48,0.87,0.7,0.06,"pending",""
"Volibear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.7,0.4,0.3,0.625,0.325,0.675,0.35,0,0,0.835,0.65,0.175,0.795,0.7,0.785,0.275,0.5,0.6666667,0,0.805,0.26,0.3,0.21,"pending",""
"Warwick",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.9,0.5,0.3,0.3,0.35,0.325,0.675,0.35,0,0,0.725,0.325,0.45,0.765,0.55,0.845,0.275,0.5,0.3333333,0,0.935,0.195,0.3,0.27,"pending",""
"Wukong",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.5,0.2,0.3,0.9,0,0.675,0,0,0.1,0.725,0.325,0.425,0.83,0.7,0.69,0.275,0.5,0.3333333,0,0.87,0.13,0.3,0.24,"pending",""
"Xayah",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.6,0.1,0.5,0,0,0.325,0.35,0.35,0.8,0.33,0,0.55,0.35,0,0.425,0.15,0.5,0.3333333,0,1,0.065,0.5,0.3,"pending",""
"Xerath",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.1,0.3,1,0.8,0.375,0.675,0,0.35,0.35,0.65,0.165,0.675,0.025,0.035,0,0.03,0.85,0,0.6666667,0,0.065,1,0.8,0.03,"pending",""
"Xin Zhao",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.6,0.3,0.2,1,0.65,0.675,0,0,0.1,0.78,0.325,0.2,0.83,0.55,0.815,0.55,0.5,0.6666667,0,0.87,0.195,0.2,0.24,"pending",""
"Yasuo",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.4,0.4,1,0.65,0,1,0.3,0.325,0,0.37,0.65,0.65,0.73,1,0.69,0.55,1,0.3333333,0,0.87,0.26,1,0.84,"pending",""
"Yone",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.4,0.4,0.8,0.65,0.325,1,0.65,0,0,0.37,0.325,0.425,0.73,1,0.815,0.275,1,0.3333333,0,0.87,0.26,0.8,0.74,"pending",""
"Yorick",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.6,0.6,0.4,0.6,0.35,0.325,0.35,0,0,0,0.78,0.65,0.15,0.76,0.55,0.63,0.275,0,0.3333333,0,0.74,0.26,0.6,0.18,"pending",""
"Yunara",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,0.2,0,0.4,0.375,0.325,0.325,0,0.35,0.8,0.11,0,0.525,0.415,0.15,0.395,0.425,0.5,0.3333333,0,0.935,0,0.4,0.27,"pending",""
"Yuumi",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,0.1,0.8,0.2,0.275,0.675,0.325,0,0.325,0.1,0.055,1,0.125,0.275,0.3,0.4,0.3,0.5,0.3333333,0,0.325,0.87,0.2,0.15,"pending",""
"Zaahen",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.6,0.1,0.2,0.55,0,0.675,0.65,0,0,0.48,0.325,0.425,0.83,1,0.69,0,0.5,0.3333333,0,0.87,0.065,0.2,0.74,"pending",""
"Zac",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.3,0.7,0.7,0.8,0.625,0.325,0.35,0,0,0,0.835,0.325,0.3,0.555,0.55,0.54,0.275,0,0.6666667,0,0.545,0.455,0.8,0.09,"pending",""
"Zed",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.9,0.2,0.1,0.7,0.375,0.325,0.675,0.3,0,0,0.11,0.325,0.225,0.765,0.6,0.27,0.275,0.5,0.3333333,0,0.935,0.065,0.7,0.77,"pending",""
"Zeri",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,0.5,0.3,0.6,0.55,0.325,0.65,0,0.675,0.9,0.275,0,0.725,0.38,0.15,0.24,0.15,1,0.3333333,0,0.87,0.195,0.6,0.24,"pending",""
"Ziggs",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.4,0.9,0.4,0.55,0.325,0.325,0,0.35,0.65,0.22,0.325,0.05,0.07,0,0.185,0.3,0.5,0.6666667,0,0.13,0.935,0.4,0.06,"pending",""
"Zilean",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.5,0.8,0.6,0.275,0.35,0,0.35,0.35,0.55,0.275,1,0.05,0.07,0,0.06,0.575,0,0.3333333,1,0.13,0.87,0.6,0.06,"pending",""
"Zoe",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.1,0.7,0.8,0.5,0,0,0.325,0,0.675,0.55,0.385,0,0.025,0.035,0,0.03,0.3,0.5,0,0,0.065,0.87,0.5,0.03,"pending",""
"Zyra",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.3,0.8,0.7,0.55,0.35,0.325,0.35,0.35,0.65,0.165,0.675,0.1,0.14,0,0.12,0.575,0.5,0.6666667,0,0.26,0.87,0.7,0.12,"pending",""
